BEA_Code,BEA_Description,Direct,Indirect,Total
3313NF,Nonferrous metal production and processing and foundries,0.0,2.2201780701583208e-05,2.2201780701583208e-05
5418,"Advertising, public relations, and related services",0.0,1.980675042223436e-05,1.980675042223436e-05
5613,Employment services,0.0,1.7343530972024486e-05,1.7343530972024486e-05
493,Warehousing and storage,0.0,3.7461111559778757e-06,3.7461111559778757e-06
23OR,Other residential construction,0.0,0.0,0.0
23OC,Office and commercial structures,0.0,0.0,0.0
213,Support activities for mining,0.0,0.0,0.0
211,Oil and gas extraction,0.0,0.0,0.0
23MR,Maintenance and repair construction,0.0,0.0,0.0
23EH,"Education, hospital, and health structures",0.0,0.0,0.0
33312,Construction machinery manufacturing,0.0,0.0,0.0
33313,Mining and oil and gas field machinery manufacturing,0.0,0.0,0.0
23OT,Other nonresidential structures,0.0,0.0,0.0
3252,"Resin, rubber, and artificial fibers manufacturing",0.0,0.0,0.0
23TH,Transportation structures and highways and streets,0.0,0.0,0.0
23SF,Single-family residential structures,0.0,0.0,0.0
23PC,Power and communication structures,0.0,0.0,0.0
33612,Heavy duty truck manufacturing,0.0,0.0,0.0
4A0X,All other retail,0.0,0.0,0.0
446,Health and personal care stores,0.0,0.0,0.0
447,Gasoline stations,0.0,0.0,0.0
448,Clothing and clothing accessories stores,0.0,0.0,0.0
441,Motor vehicle and parts dealers,0.0,0.0,0.0
445,Food and beverage stores,0.0,0.0,0.0
452,General merchandise stores,0.0,0.0,0.0
444,Building material and garden equipment and supplies dealers,0.0,0.0,0.0
42ID,Customs duties,0.0,0.0,0.0
425,Wholesale electronic markets and agents and brokers,0.0,0.0,0.0
424X,Other nondurable goods merchant wholesalers,0.0,0.0,0.0
4247,Petroleum and petroleum products,0.0,0.0,0.0
4238,"Machinery, equipment, and supplies",0.0,0.0,0.0
423X,Other durable goods merchant wholesalers,0.0,0.0,0.0
4242,Drugs and druggists' sundries,0.0,0.0,0.0
4244,Grocery and related product wholesalers,0.0,0.0,0.0
4236,Household appliances and electrical and electronic goods,0.0,0.0,0.0
4234,Professional and commercial equipment and supplies,0.0,0.0,0.0
4231,Motor vehicle and motor vehicle parts and supplies,0.0,0.0,0.0
5413,"Architectural, engineering, and related services",0.0,0.0,0.0
486,Pipeline transportation,0.0,0.0,0.0
5416,"Management, scientific, and technical consulting services",0.0,0.0,0.0
5415,Computer systems design and related services,0.0,0.0,0.0
5242,"Agencies, brokerages, and other insurance related activities",0.0,0.0,0.0
55,Management of companies and enterprises,0.0,0.0,0.0
814,Private households,0.0,0.0,0.0
GFGD,Federal general government (defense),0.0,0.0,0.0
GFGN,Federal general government (nondefense),0.0,0.0,0.0
GSLGH,State and local government (hospitals and health services),0.0,0.0,0.0
GSLGE,State and local government (educational services),0.0,0.0,0.0
GSLGO,State and local government (other services),0.0,0.0,0.0
Other,,0.0,0.0,0.0
